country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.739153,77.273668,NO2,22.0,49.0,33.0
India,Uttar Pradesh,Ghaziabad,"Wave City, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.646675,77.489049,PM2.5,,,
India,Uttar Pradesh,Ghaziabad,"Wave City, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.646675,77.489049,SO2,1.0,3.0,2.0
India,Uttar Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.646233,77.358075,SO2,12.0,20.0,16.0
India,Uttar Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.646233,77.358075,OZONE,22.0,54.0,32.0
India,Uttar Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.757294,77.278792,NH3,2.0,5.0,3.0
India,Uttar Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.757294,77.278792,CO,50.0,101.0,71.0
India,Uttar Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.694528,77.494705,CO,37.0,40.0,39.0
India,Uttar Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",11-09-2026 05:00:00,28.557054,77.453663,NH3,8.0,10.0,9.0
India,Uttar Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",11-09-2026 05:00:00,28.557054,77.453663,SO2,5.0,9.0,7.0
India,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",11-09-2026 05:00:00,28.47272,77.482,NO2,11.0,47.0,25.0
India,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",11-09-2026 05:00:00,28.47272,77.482,OZONE,20.0,32.0,24.0
India,Uttar Pradesh,Noida,"Sector - 125, Noida - UPPCB",11-09-2026 05:00:00,28.5447608,77.3231257,PM2.5,26.0,140.0,64.0
India,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB",11-09-2026 05:00:00,28.56923,77.393848,PM10,140.0,205.0,166.0
